date,close,slow_ma_130SMA,fast_ma_44SMA
2022-06-09,30111.998046875,38302.505018028845,32063.453391335228
2022-06-10,29083.8046875,38230.202554086536,31832.60529119318
2022-06-11,28360.810546875,38150.33745492788,31573.218528053978
2022-06-12,26762.6484375,38071.95025540865,31303.96453302557
2022-06-13,22487.388671875,37959.12554086538,30957.885298295456
2022-06-14,22206.79296875,37810.70952524038,30588.287553267044
2022-06-15,22572.83984375,37665.56856971154,30225.640092329544
2022-06-16,20381.650390625,37496.101006610574,29830.894575639206
2022-06-17,20471.482421875,37316.34098557692,29393.919833096592
2022-06-18,19017.642578125,37123.257887620195,28994.885786576706
2022-06-19,20553.271484375,36940.29230769231,28642.89373224432
2022-06-20,20599.537109375,36763.634029447116,28304.20245916193
2022-06-21,20710.59765625,36596.731415264425,28000.823641690342
2022-06-22,19987.029296875,36425.52034254808,27766.507191051136
2022-06-23,21085.876953125,36263.123121995195,27540.665616122158
2022-06-24,21231.65625,36098.85187800481,27365.558815696022
2022-06-25,21502.337890625,35921.368299278845,27194.072132457386
2022-06-26,21027.294921875,35744.94857271635,27006.44011896307
2022-06-27,20735.478515625,35592.621394230766,26793.581321022728
2022-06-28,20280.634765625,35440.69568810096,26543.024991122158
2022-06-29,20104.0234375,35286.71005108173,26321.23193359375
2022-06-30,19784.7265625,35143.27426382212,26079.388050426136
2022-07-01,19269.3671875,35006.305694110575,25864.594770951706
2022-07-02,19242.255859375,34859.81514423077,25612.956631747158
2022-07-03,19297.076171875,34721.357496995195,25387.87335759943
2022-07-04,20231.26171875,34582.11636117788,25178.760520241478
2022-07-05,20190.115234375,34435.777103365384,24948.451260653408
2022-07-06,20548.24609375,34293.031700721156,24754.11798650568
2022-07-07,21637.587890625,34169.3994140625,24571.890758167614
2022-07-08,21731.1171875,34004.30620492788,24393.907936789772
2022-07-09,21592.20703125,33829.210591947114,24219.475719105114
2022-07-10,20860.44921875,33651.79776141827,24042.950150923294
2022-07-11,19970.556640625,33478.865204326925,23841.942338423294
2022-07-12,19323.9140625,33326.45219350961,23611.895907315342
2022-07-13,20212.07421875,33178.84825721154,23350.206898082386
2022-07-14,20569.919921875,33041.540069110575,23095.152565696022
2022-07-15,20836.328125,32909.034600360574,22891.453657670456
2022-07-16,21190.31640625,32774.058037860574,22680.608842329544
2022-07-17,20779.34375,32610.953560697115,22477.766867897728
2022-07-18,22485.689453125,32480.555318509614,22310.78449041193
2022-07-19,23389.43359375,32362.051171875,22162.665660511364
2022-07-20,23231.732421875,32241.495177283654,21977.68976384943
2022-07-21,23164.62890625,32128.533368389424,21796.079545454544
2022-07-22,22714.978515625,31998.135096153845,21625.63916015625
2022-07-23,22465.478515625,31868.3404296875,21451.854625355114
2022-07-24,22609.1640625,31725.765309495193,21304.703702059658
2022-07-25,21361.701171875,31575.075480769232,21145.633034446022
2022-07-26,21239.75390625,31416.910847355768,21020.112704190342
2022-07-27,22930.548828125,31268.756204927886,21030.184525923294
2022-07-28,23843.88671875,31134.879762620192,21067.391202059658
2022-07-29,23804.6328125,31002.00773737981,21095.386496803978
2022-07-30,23656.20703125,30858.141571514425,21169.808238636364
2022-07-31,23336.896484375,30707.71033653846,21234.931285511364
2022-08-01,23314.19921875,30548.889302884614,21332.580300071022
2022-08-02,22978.1171875,30384.499969951925,21387.6904296875
2022-08-03,22846.5078125,30217.928275240385,21438.757945667614
2022-08-04,22630.95703125,30031.854927884615,21482.402476917614
2022-08-05,23289.314453125,29848.48039362981,21557.45441228693
2022-08-06,22961.279296875,29659.984615384616,21600.077192826706
2022-08-07,23175.890625,29476.240204326925,21644.26433771307
2022-08-08,23809.486328125,29309.09259314904,21696.69952947443
2022-08-09,23164.318359375,29131.26700721154,21745.26824396307
2022-08-10,23947.642578125,28962.641571514425,21818.27197265625
2022-08-11,23957.529296875,28789.59513221154,21901.837757457386
2022-08-12,24402.818359375,28618.67315204327,21999.537642045456
2022-08-13,24424.068359375,28456.119891826922,22104.97722833807
2022-08-14,24319.333984375,28310.832166466345,22219.74920099432
2022-08-15,24136.97265625,28161.856204927884,22330.992764559658
2022-08-16,23883.291015625,28020.28410456731,22435.22492009943
2022-08-17,23335.998046875,27870.69842247596,22505.787109375
2022-08-18,23212.73828125,27724.583548677885,22574.48308771307
2022-08-19,20877.552734375,27581.165474759615,22581.967329545456
2022-08-20,21166.060546875,27435.310682091345,22571.25079900568
2022-08-21,21534.12109375,27284.29060997596,22566.77361505682
2022-08-22,21398.908203125,27141.701322115383,22562.380459872158
2022-08-23,21528.087890625,26995.35226862981,22577.554066051136
2022-08-24,21395.01953125,26848.97176983173,22609.92822265625
